scenario,gap,buf,policy,no_mint,limit_mode,date,base_inhouse_legs,after_inhouse_legs,total_legs,mints,standby_pool
limit_all,120,30,free,0,all,2026-08-16,114,116,155,3,-1
limit_all,120,30,free,0,all,2026-08-17,97,105,116,3,-1
limit_all,120,30,free,0,all,2026-08-18,80,83,88,2,-1
limit_all,120,30,free,0,all,2026-08-19,68,71,72,4,-1
limit_all,120,30,free,0,all,2026-08-20,76,79,80,3,-1
policy_soft,120,30,soft,0,,2026-07-24,79,83,99,4,9
policy_soft,120,30,soft,0,,2026-07-25,104,104,125,1,12
policy_soft,120,30,soft,0,,2026-07-26,92,94,126,4,12
policy_soft,120,30,soft,0,,2026-07-27,70,70,74,3,12
policy_soft,120,30,soft,0,,2026-07-28,55,55,55,0,14
policy_soft,120,30,soft,0,,2026-07-29,63,63,65,1,14
policy_soft,120,30,soft,0,,2026-07-30,71,73,85,1,11
policy_soft,120,30,soft,0,,2026-07-31,89,93,114,2,8
policy_soft,120,30,soft,0,,2026-08-01,117,127,167,10,10
policy_soft,120,30,soft,0,,2026-08-02,91,98,127,6,11
policy_soft,120,30,soft,0,,2026-08-03,87,87,104,0,9
policy_soft,120,30,soft,0,,2026-08-04,74,76,83,2,12
policy_soft,120,30,soft,0,,2026-08-05,88,88,102,4,10
policy_soft,120,30,soft,0,,2026-08-06,75,81,97,8,10
policy_soft,120,30,soft,0,,2026-08-07,96,102,124,4,9
policy_soft,120,30,soft,0,,2026-08-08,116,123,167,7,9
policy_soft,120,30,soft,0,,2026-08-09,90,99,139,4,9
policy_soft,120,30,soft,0,,2026-08-10,90,95,112,1,9
policy_soft,120,30,soft,0,,2026-08-11,71,74,83,3,12
policy_soft,120,30,soft,0,,2026-08-12,79,80,89,1,12
policy_soft,120,30,soft,0,,2026-08-13,96,97,103,5,9
policy_soft,120,30,soft,0,,2026-08-14,99,101,117,4,10
policy_soft,120,30,soft,0,,2026-08-15,131,136,155,4,10
policy_soft,120,30,soft,0,,2026-08-16,114,116,155,4,9
policy_soft,120,30,soft,0,,2026-08-17,97,100,116,3,8
policy_soft,120,30,soft,0,,2026-08-18,80,80,88,0,10
policy_soft,120,30,soft,0,,2026-08-19,68,70,72,3,10
policy_soft,120,30,soft,0,,2026-08-20,76,77,80,1,8
policy_hard2,120,30,hard2,0,,2026-07-24,79,80,99,1,9
policy_hard2,120,30,hard2,0,,2026-07-25,104,104,125,1,12
policy_hard2,120,30,hard2,0,,2026-07-26,92,92,126,2,12
policy_hard2,120,30,hard2,0,,2026-07-27,70,67,74,0,12
policy_hard2,120,30,hard2,0,,2026-07-28,55,55,55,0,14
policy_hard2,120,30,hard2,0,,2026-07-29,63,62,65,0,14
policy_hard2,120,30,hard2,0,,2026-07-30,71,73,85,1,11
policy_hard2,120,30,hard2,0,,2026-07-31,89,92,114,1,8
policy_hard2,120,30,hard2,0,,2026-08-01,117,123,167,6,10
policy_hard2,120,30,hard2,0,,2026-08-02,91,96,127,4,11
policy_hard2,120,30,hard2,0,,2026-08-03,87,87,104,0,9
policy_hard2,120,30,hard2,0,,2026-08-04,74,74,83,0,12
policy_hard2,120,30,hard2,0,,2026-08-05,88,84,102,0,10
policy_hard2,120,30,hard2,0,,2026-08-06,75,74,97,1,10
policy_hard2,120,30,hard2,0,,2026-08-07,96,100,124,2,9
policy_hard2,120,30,hard2,0,,2026-08-08,116,120,167,3,9
policy_hard2,120,30,hard2,0,,2026-08-09,90,98,139,3,9
policy_hard2,120,30,hard2,0,,2026-08-10,90,94,112,0,9
policy_hard2,120,30,hard2,0,,2026-08-11,71,71,83,0,12
policy_hard2,120,30,hard2,0,,2026-08-12,79,79,89,0,12
policy_hard2,120,30,hard2,0,,2026-08-13,96,92,103,0,9
policy_hard2,120,30,hard2,0,,2026-08-14,99,99,117,2,10
policy_hard2,120,30,hard2,0,,2026-08-15,131,133,155,1,10
policy_hard2,120,30,hard2,0,,2026-08-16,114,112,155,0,9
policy_hard2,120,30,hard2,0,,2026-08-17,97,97,116,0,8
policy_hard2,120,30,hard2,0,,2026-08-18,80,80,88,0,10
policy_hard2,120,30,hard2,0,,2026-08-19,68,67,72,0,10
policy_hard2,120,30,hard2,0,,2026-08-20,76,76,80,0,8
